advertisment_site,image,marka,gads,tilpums,tips,nobraukums,cena
/msg/lv/transport/cars/volkswagen/transporter/blbcco.html,https://i.ss.lv/gallery/7/1316/328796/65759098.th2.jpg,VolkswagenTransporter,2001,2.5,D,522000,3150
/msg/lv/transport/cars/honda/cr-v/cckkpf.html,https://i.ss.lv/gallery/7/1308/326953/65390473.th2.jpg,HondaCr-v,2014,2.4,,,11690
/msg/lv/transport/cars/citroen/c3/cdgedn.html,https://i.ss.lv/gallery/7/1306/326256/65251092.th2.jpg,CitroenC3,2014,1.4,D,153000,5985
/msg/lv/transport/cars/ford/transit/bkeodm.html,https://i.ss.lv/gallery/7/1308/326954/65390654.th2.jpg,FordTransit,2011,2.2,D,,4790
/msg/lv/transport/cars/volvo/xc90/cfmobk.html,https://i.ss.lv/gallery/7/1319/329504/65900710.th2.jpg,VolvoXC 90,2006,2.4,D,345000,5950
/msg/lv/transport/cars/peugeot/508/cbmkln.html,https://i.ss.lv/gallery/7/1319/329503/65900482.th2.jpg,Peugeot508,2014,2.0,D,250000,6700
/msg/lv/transport/cars/mercedes/ml350/cfkgmm.html,https://i.ss.lv/gallery/7/1297/324194/64838648.th2.jpg,MercedesML350,2013,3.0,D,277000,12000
/msg/lv/transport/cars/bmw/320/cdibli.html,https://i.ss.lv/gallery/7/1239/309730/61945909.th2.jpg,Bmw320,2010,2.0,D,244000,10000
/msg/lv/transport/cars/bmw/530/bijfj.html,https://i.ss.lv/gallery/7/1319/329505/65900978.th2.jpg,Bmw530,2010,3.0,D,,11990
/msg/lv/transport/cars/seat/leon/bxinix.html,https://i.ss.lv/gallery/7/1282/320326/64065143.th2.jpg,SeatLeon,2021,1.6,D,167000,10300
/msg/lv/transport/cars/bmw/530/bhjocf.html,https://i.ss.lv/gallery/7/1306/326274/65254796.th2.jpg,Bmw530,2012,3.0,D,,11590
/msg/lv/transport/cars/bmw/530/cdlfbh.html,https://i.ss.lv/gallery/7/1318/329458/65891406.th2.jpg,Bmw530,2011,3.0,D,371000,12500
/msg/lv/transport/cars/audi/a3/cekke.html,https://i.ss.lv/gallery/7/1314/328271/65654027.th2.jpg,AudiA3,2012,1.6,D,182000,8800
/msg/lv/transport/cars/renault/megane/bcdkix.html,https://i.ss.lv/gallery/7/1317/329001/65800194.th2.jpg,RenaultMegane,2006,1.6,,252000,750
/msg/lv/transport/cars/subaru/forester/cfmobn.html,https://i.ss.lv/gallery/7/1319/329505/65900905.th2.jpg,SubaruForester,2002,2.0,,,2150
/msg/lv/transport/cars/renault/espace/kxkld.html,https://i.ss.lv/gallery/7/1291/322659/64531711.th2.jpg,RenaultEspace,2016,1.6,D,247000,10990
/msg/lv/transport/cars/mercedes/e200/ekiod.html,https://i.ss.lv/gallery/7/1319/329505/65900844.th2.jpg,MercedesE200,2012,2.2,D,,12500
/msg/lv/transport/cars/volvo/s60/bifkec.html,https://i.ss.lv/gallery/7/1304/325906/65181033.th2.jpg,VolvoS60,2005,2.4,D,238000,3300
